,Ticker,Score Final,Recomendación,% Subida a Máx,Crecimiento Futuro,País,Semáforo Riesgo,Contexto Global,Proyección 12M (%),Score Numérico Total,Fuente,Mínimo,Máximo,Actual,Forward EPS,Forward Revenue Growth,Margen Futuro,Sector,Tipo,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Revenue Growth YoY,Contexto,VIX,Riesgo País,Cobertura,Target Base 12M,Target Alcista 12M,Target Conservador,Justificación Score,Advertencia
15,PBR,⭐⭐⭐⭐⭐ (5/5 - Excelente),✅ Comprar,32.1,🔴 Bajo,brazil,VERDE,Contexto Global: MODERADO,351.52,13,Yahoo Finance,0.99,15.64,11.84,2.97,4.6,,Energy,Acción,0.18,8.835821,0.38551706,0.12019,0.08658,136.61,93.137,2.449,19.4,0.331,0.046,"Petróleo Brasileiro S.A. - Petrobras explora, produce y vende petróleo y gas en Brasil e internacionalmente. Funciona a través de tres segmentos: exploración y producción; Refinación, transporte y marketing; y gas y energías bajas en carbono. El segmento de exploración y producción explora, desarrolla y produce petróleo crudo, líquidos de gas natural y gas natural principalmente para suministros a las refinerías nacionales. El segmento de refinación, transporte y marketing se involucra en la refinación, logística, transporte, adquisición y exportación de petróleo crudo; comercio de productos petroleros; y la producción de fertilizantes, así como la celebración de intereses en las compañías petroquímicas. El segmento de gases y energías bajas de carbono está involucrado en la logística y el comercio de gas natural y electricidad; transporte y comercio de gas natural licuado; generación de electricidad a través de plantas de energía termoeléctrica; negocio de energía renovable; Negocio bajo en carbono; y negocios de procesamiento de gas natural, así como la producción de biodiesel y sus coproductos. La compañía también se dedica a prospectos, perforaciones, refinamiento, procesamiento, comercio y transporte de petróleo crudo para producir campos petroleros en tierra y en alta mar, y lutitas u otras rocas, así como productos de petróleo, gas natural y otros hidrocarburos líquidos. Además, se involucra en la investigación, desarrollo, producción, transporte, distribución y comercio de energía. La compañía fue incorporada en 1953 y tiene su sede en Río de Janeiro, Brasil.",22.29,260,8/8,53.46,74.25,35.64,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,ROIC > 8%,PEG Ratio razonable,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Sector estratégico,Contexto global favorable (+1)",
31,VALE,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,69.78,🟡 Moderado,brazil,AMARILLO,Contexto Global: MODERADO,284.38,11,Yahoo Finance,1.2,16.3,9.6,2.05,13.200000000000001,,Basic Materials,Acción,,6.956522,0.20278835,0.15003,0.07763,51.13,51.02,1.771,14.35,1.061,0.132,"Vale S.A., junto con sus subsidiarias, produce y vende mineral de hierro, gránulos de mineral de hierro, níquel y cobre en Brasil e internacionalmente. La compañía opera a través de segmentos de materiales de transición de hierro y soluciones de energía. El segmento de soluciones de hierro produce y extrae mineral de hierro y gránulos, y otros productos ferrosos; y proporciona servicios logísticos relacionados. El segmento de materiales de transición de energía produce y extrae níquel; y sus subproductos, como oro, plata, cobalto, metales preciosos y otros, así como cobre utilizado en el sector de la construcción para producir tuberías y cables eléctricos. La compañía fue conocida anteriormente como Companhia Vale do Rio Doce y cambió su nombre a Vale S.A. en mayo de 2009. Vale S.A. fue fundada en 1942 y tiene su sede en Río de Janeiro, Brasil.",22.29,260,7/8,36.9,51.25,24.6,"EV/EBITDA < 15,ROE > 10%,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
53,QFIN,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,11.08,🟡 Moderado,china,VERDE,Contexto Global: MODERADO,139.18,10,Yahoo Finance,5.46,47.23,42.52,5.65,12.9,,Financial Services,Acción,0.12,6.5718703,0.24790257,0.30424,0.10262,-29.99,27.815,0.855,3.06,0.587,0.129,"QIFU Technology, Inc., junto con sus subsidiarias, operan la plataforma de tecnología crediticia con Empoderada AI-AI bajo la marca QIFU Jietiao en la República Popular de China. La Compañía proporciona servicios basados ​​en crédito que coinciden con los prestatarios con instituciones financieras para llevar a cabo adquisición de prestatario, evaluación de crédito, coincidencia de fondos y servicios posteriores a la facilitación; y servicios de plataforma, incluidos los servicios de facilitación de préstamos y post-facilitación a socios de instituciones financieras bajo un motor de crédito de inteligencia, servicios de referencia y otras soluciones tecnológicas. Sirve a instituciones financieras, consumidores y pequeñas y microempresas. La compañía fue conocida anteriormente como 360 Digitech, Inc. y cambió su nombre a Qifu Technology, Inc. en marzo de 2023. Qifu Technology, Inc. se fundó en 2016 y tiene su sede en Shanghai, la República Popular de China.",22.29,70,8/8,101.7,141.25,67.8,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,ROIC > 8%,PEG Ratio razonable,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por china/financial services (-1),Contexto global favorable (+1)",
32,VALE3.SA,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,46.44,🟡 Moderado,brazil,AMARILLO,Contexto Global: MODERADO,295.66,11,Yahoo Finance,4.68,79.54,54.32,11.94,13.200000000000001,,Basic Materials,Acción,,6.884664,1.147444,0.15003,0.07763,9.04,51.02,4.35,13.8,1.061,0.132,"Vale S.A., junto con sus subsidiarias, produce y vende mineral de hierro, gránulos de mineral de hierro, níquel y cobre en Brasil e internacionalmente. La compañía opera a través de segmentos de materiales de transición de hierro y soluciones de energía. El segmento de soluciones de hierro produce y extrae mineral de hierro y gránulos, y otros productos ferrosos; y proporciona servicios logísticos relacionados. El segmento de materiales de transición de energía produce y extrae níquel; y sus subproductos, como oro, plata, cobalto, metales preciosos y otros, así como cobre utilizado en el sector de la construcción para producir tuberías y cables eléctricos. La compañía fue conocida anteriormente como Companhia Vale do Rio Doce y cambió su nombre a Vale S.A. en mayo de 2009. Vale S.A. fue fundada en 1942 y tiene su sede en Río de Janeiro, Brasil.",22.29,260,7/8,214.92,298.5,143.28,"EV/EBITDA < 15,ROE > 10%,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
27,BABA,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,153.69,🟡 Moderado,china,VERDE,Contexto Global: MODERADO,47.15,11,Yahoo Finance,55.42,306.28,120.73,9.87,6.6000000000000005,,Consumer Cyclical,Acción,0.06,16.22715,0.27626875,0.114379995,0.05173,4.46,22.782,11.674,0.87,0.237,0.066,"Alibaba Group Holding Limited, a través de sus subsidiarias, proporciona infraestructura tecnológica y alcance de marketing para ayudar a comerciantes, marcas, minoristas y otras empresas a interactuar con sus usuarios y clientes en la República Popular de China e internacionalmente. La compañía opera a través de siete segmentos: China Commerce, International Commerce, Local Consumer Services, Cainiao, Cloud, Digital Media and Entertainment, e Iniciativas de innovación y otros. Opera Taobao y Tmall, que son plataformas minoristas digitales; Alimama, una plataforma de monetización patentada; 1688.com y Alibaba.com, que son mercados mayoristas en línea; Aliexpress, un mercado minorista; Lazada, Trendyol y Daraz que son plataformas de comercio electrónico; Freshippo, una plataforma minorista para comestibles y productos frescos; y Tmall Global, una plataforma de comercio electrónico de importación. La compañía también opera la plataforma de servicios logísticos de la red Cainiao; Ele.me, una plataforma de entrega a pedido y servicios locales; Koubei, una plataforma de Guía de Servicios Locales y Restaurante; y Fliggy, una plataforma de viaje en línea. Además, ofrece servicios de marketing de pago por rendimiento, alimentación y exhibición; y Taobao Ad Network e Exchange, un intercambio de marketing de ofertas en línea en tiempo real. Además, la compañía proporciona servicios elásticos de computación, almacenamiento, red, seguridad, base de datos, big data e IoT; y hardware, licencia de software, instalación de software y servicios de desarrollo y mantenimiento de aplicaciones. Además, opera YouKu, una plataforma de video en línea; Quark, una plataforma para la búsqueda, almacenamiento y consumo de información; Alibaba Pictures y otras plataformas de contenido que proporcionan videos en línea, películas, eventos en vivo, noticias, literatura, música y otros; AMAP, un mapa digital móvil, navegación y aplicación de información de tráfico en tiempo real; Dingtalk, una aplicación móvil de eficiencia comercial; Tmall Genie Smart Speaker; y Qwen, un chatbot de inteligencia artificial. La compañía se incorporó en 1999 y tiene su sede en Hangzhou, la República Popular de China.",22.29,70,8/8,177.66,246.75,118.44,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,PEG Ratio razonable,FCF positivo,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Contexto global favorable (+1)",
18,CVX,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,23.97,🔴 Bajo,usa,VERDE,Contexto Global: MODERADO,45.54,10,Yahoo Finance,36.96,169.27,136.54,11.04,-1,,Energy,Acción,,15.60457,1.5977439,0.10079,0.05233,5.72,19.777,6.866,5.01,0.806,-0.01,"Chevron Corporation, a través de sus subsidiarias, se involucra en las operaciones integradas de energía y productos químicos en los Estados Unidos e internacionalmente. La compañía opera en dos segmentos, aguas arriba y aguas abajo. El segmento aguas arriba se involucra en la exploración, desarrollo, producción y transporte de petróleo crudo y gas natural; licuefacción, transporte y regasificación de gas natural licuado; transporte de petróleo crudo a través de tuberías; procesamiento, transporte, almacenamiento y comercialización de gas natural; y captura y almacenamiento de carbono, así como una planta de gas a líquidos. El segmento aguas abajo refina el petróleo crudo en productos de petróleo; mercados petróleo crudo, productos refinados y lubricantes; fabricar y comercializar combustibles renovables; transporta petróleo crudo y productos refinados a través de tuberías, buques marinos, equipos de motor y vagón de ferrocarril; y fabricar y comercializar productos petroquímicos, plásticos para usos industriales y aditivos de combustible y lubricantes. La compañía fue conocida anteriormente como Chevrontexaco Corporation y cambió su nombre a Chevron Corporation en 2005. Chevron Corporation fue fundada en 1879 y tiene su sede en Houston, Texas.",22.29,50,7/8,198.72,276,132.48,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo,Sector estratégico,Contexto global favorable (+1)",
16,XOM,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,18.53,🔴 Bajo,usa,VERDE,Contexto Global: MODERADO,37.49,10,Yahoo Finance,24.58,122.12,103.03,7.87,0.6,,Energy,Acción,,13.664456,1.690097,0.14302,0.061979998,4.91,13.918,7.27,3.84,0.475,0.006,"Exxon Mobil Corporation se involucra en la exploración y producción de petróleo crudo y gas natural en los Estados Unidos, Canadá, el Reino Unido, Singapur, Francia e internacionalmente. Opera a través de segmentos aguas arriba, productos energéticos, productos químicos y productos especializados. El segmento aguas arriba explora y produce petróleo crudo y gas natural. El segmento de productos Energy ofrece combustibles, aromáticos y catalizadores, así como servicios de licencia. El segmento de productos químicos fabrica y vende petroquímicos, incluidas olefinas, poliolefinas e intermedios. El segmento de productos especializados ofrece productos de rendimiento, que incluyen lubricantes terminados, base, ceras, sintéticos, elastómeros y resinas. La compañía participa en la fabricación, el comercio, el transporte y la venta de petróleo crudo, gas natural, productos de petróleo, petroquímicos y otros productos especializados; y la búsqueda de oportunidades de menor emisión y negocios, incluida la captura y el almacenamiento de carbono, hidrógeno, combustibles de baja emisión, sistemas de proxxima, materiales de carbono y litio. Venta sus productos bajo las marcas Exxon, Esso y Mobil. Exxon Mobil Corporation fue fundada en 1870 y tiene su sede en Spring, Texas.",22.29,50,7/8,141.66,196.75,94.44,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,FCF positivo,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Sector estratégico,Contexto global favorable (+1)",
10,VIST,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,19.53,🟢 Alto,mexico,VERDE,Contexto Global: MODERADO,170.83,12,Yahoo Finance,1.9,59.5,49.78,7.49,38.2,,Energy,Acción,2.01,10.659529,2.9754932,0.32689998,0.109469995,3.5,108.359,5.396,,-0.24,0.382,"Vista Energy, S.A.B. De C.V., a través de sus subsidiarias, se involucra en la exploración y producción de petróleo y gas en América Latina. Los principales activos de la compañía ubicados en Neuquina Basin, Argentina y Vaca Muerta. Posee producir activos en Argentina y México. Además, la compañía involucrada en actividades de perforación y trabajo ubicadas en Argentina. La compañía fue conocida anteriormente como Vista Oil & Gas, S.A.B. de C.V. y cambió su nombre a Vista Energy, S.A.B. de C.V. En abril de 2022. Vista Energy, S.A.B. de C.V. se incorporó en 2017 y tiene su sede en la Ciudad de México, México.",22.29,320,8/8,134.82,187.25,89.88,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,ROIC > 8%,PEG Ratio razonable,FCF positivo,P/E < 20,P/B < 3,EPS futuro positivo,Crecimiento futuro > 10%,Sector estratégico,Contexto global favorable (+1)",
19,TGSU2.BA,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,10.82,🟢 Alto,argentina,VERDE,Contexto Global: ADVERSO,-43.02,11,Yahoo Finance,0.93,7990,7210,228.23,47.599999999999994,,Energy,Acción,,13.908178,2.4299893,0.18070999,0.09702,5.34,25.973,8.181,,-0.162,0.476,"Transportadora de Gas del Sur S.A. se involucra en el transporte de gas natural, y la producción y comercialización de líquidos de gas natural en Argentina e internacionalmente. La compañía opera a través de cuatro segmentos: servicios de transporte de gas natural; Producción y comercialización de líquidos; Centro de la corriente; y telecomunicaciones. El segmento de transporte de gas natural transporta gas natural a través del sistema de tuberías a empresas de distribución, plantas de energía y clientes industriales. Proporciona servicios de operación y mantenimiento para las instalaciones de transporte de gas natural. El segmento de producción y comercialización de líquidos produce y comercializa líquidos de gas natural, como etano, gas de petróleo líquido, gasolina natural, propano y butano. Este segmento ofrece ciertos servicios relacionados que comprenden recepción, almacenamiento y envío de líquidos. El segmento Midstream proporciona servicios de acondicionamiento de gas natural; tratamiento, eliminación de impurezas y compresión de gas natural, incluida la recolección y el transporte de gas natural; e inspección y mantenimiento de tuberías y servicios de plantas de compresores. Además, este segmento ofrece generación de vapor para la producción de electricidad y los servicios de gestión para trabajos de expansión y generación de vapor para la producción de electricidad. El segmento de telecomunicaciones ofrece servicios de transmisión de datos a través de una red de relé de radio terrestre digital. Sirve a usuarios finales de generación de energía residencial, comercial, industrial y eléctrica. La compañía se incorporó en 1992 y tiene su sede en Buenos Aires, Argentina. Transportadora de Gas del Sur S.A. es una subsidiaria de Compañía de Inversiones de Energía S.A.",22.29,1450,7/8,4108.14,5705.75,2738.76,"Beta <= 1,EV/EBITDA < 15,ROE > 10%,ROIC > 8%,FCF positivo,FCF > 5%,P/E < 20,P/B < 3,EPS futuro positivo,Crecimiento futuro > 10%,Sector estratégico",
5,GOOGL,⭐⭐⭐⭐ (4/5 - Muy Bueno),✅ Comprar,22.36,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,-4.27,10,Yahoo Finance,10.86,206.14,168.47,8.96,12,,Communication Services,Acción,0.41,18.802456,5.930998,0.34789002,0.16896999,2.96,8.254,14.572,0.5,1.01,0.12,"Alphabet Inc. ofrece varios productos y plataformas en los Estados Unidos, Europa, Oriente Medio, África, Asia-Pacífico, Canadá y América Latina. Funciona a través de Google Services, Google Cloud y otros segmentos de apuestas. El segmento de Google Services proporciona productos y servicios, incluidos anuncios, Android, Chrome, dispositivos, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search y YouTube. También participa en la venta de aplicaciones y compras en la aplicación y contenido digital en Google Play y YouTube; y dispositivos, así como en la provisión de servicios de suscripción al consumidor de YouTube. El segmento de Google Cloud ofrece infraestructura de IA, plataforma de IA Vertex, ciberseguridad, datos y análisis, y otros servicios; El espacio de trabajo de Google que incluye herramientas de comunicación y colaboración basadas en la nube para empresas, como calendario, gmail, documentos, impulso y reunión; y otros servicios para clientes empresariales. El segmento de otras apuestas vende servicios de Internet relacionados con la salud. La compañía se incorporó en 1998 y tiene su sede en Mountain View, California.",22.29,50,8/8,161.28,224,107.52,"EV/EBITDA < 15,ROE > 10%,ROIC > 8%,PEG Ratio razonable,FCF positivo,P/E < 20,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
